2018-08-31 11:33:11,169 | INFO | main | com.lkmotion.yesincar.AccountServiceApplication | (Jdk14Logger.java:99)- Starting AccountServiceApplication v0.0.1-SNAPSHOT on DESKTOP-IV77ACH with PID 11560 (D:\wkide\yesincar-java-server\yesincar\account-service\target\account-service.jar started by lizha in D:\wkide\yesincar-java-server\yesincar\account-service\target)
2018-08-31 11:33:11,173 | INFO | main | com.lkmotion.yesincar.AccountServiceApplication | (Jdk14Logger.java:99)- The following profiles are active: dev
2018-08-31 11:33:11,303 | INFO | main | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | (Jdk14Logger.java:99)- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@61a485d2: startup date [Fri Aug 31 11:33:11 CST 2018]; root of context hierarchy
2018-08-31 11:33:12,127 | INFO | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate | (RepositoryConfigurationDelegate.java:163)- Multiple Spring Data modules found, entering strict repository configuration mode!
2018-08-31 11:33:12,618 | INFO | main | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | (Jdk14Logger.java:99)- Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cd82cbdb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-31 11:33:13,746 | INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | (Jdk14Logger.java:99)- Tomcat initialized with port(s): 8081 (http)
2018-08-31 11:33:13,763 | INFO | main | org.apache.coyote.http11.Http11NioProtocol | (DirectJDKLog.java:180)- Initializing ProtocolHandler ["http-nio-8081"]
2018-08-31 11:33:13,774 | INFO | main | org.apache.catalina.core.StandardService | (DirectJDKLog.java:180)- Starting service [Tomcat]
2018-08-31 11:33:13,775 | INFO | main | org.apache.catalina.core.StandardEngine | (DirectJDKLog.java:180)- Starting Servlet Engine: Apache Tomcat/8.5.32
2018-08-31 11:33:13,785 | INFO | localhost-startStop-1 | org.apache.catalina.core.AprLifecycleListener | (DirectJDKLog.java:180)- The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;D:\maven\apache-maven-3.5.4\bin;D:\Program Files\nodejs\;C:\Program Files\MySQL\MySQL Utilities 1.6\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Users\lizha\AppData\Local\Microsoft\WindowsApps;C:\Users\lizha\AppData\Local\GitHubDesktop\bin;C:\Users\lizha\AppData\Roaming\npm;C:\Users\lizha\AppData\Local\Microsoft\WindowsApps;.]
2018-08-31 11:33:13,963 | INFO | localhost-startStop-1 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | (DirectJDKLog.java:180)- Initializing Spring embedded WebApplicationContext
