2018-08-31 11:25:31,100 | INFO | main | com.lkmotion.yesincar.VehicleMapTest | (Jdk14Logger.java:99)- Starting VehicleMapTest on DESKTOP-IV77ACH with PID 6028 (started by lizha in D:\wkide\yesincar-java-server\yesincar\map-service)
2018-08-31 11:25:31,103 | INFO | main | com.lkmotion.yesincar.VehicleMapTest | (Jdk14Logger.java:99)- No active profile set, falling back to default profiles: default
2018-08-31 11:25:31,160 | INFO | main | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | (Jdk14Logger.java:99)- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@64e7619d: startup date [Fri Aug 31 11:25:31 CST 2018]; root of context hierarchy
2018-08-31 11:25:33,755 | INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | (Jdk14Logger.java:99)- Tomcat initialized with port(s): 0 (http)
2018-08-31 11:25:33,769 | INFO | main | org.apache.coyote.http11.Http11NioProtocol | (DirectJDKLog.java:180)- Initializing ProtocolHandler ["http-nio-auto-1"]
2018-08-31 11:25:33,820 | INFO | main | org.apache.catalina.core.StandardService | (DirectJDKLog.java:180)- Starting service [Tomcat]
2018-08-31 11:25:33,820 | INFO | main | org.apache.catalina.core.StandardEngine | (DirectJDKLog.java:180)- Starting Servlet Engine: Apache Tomcat/8.5.32
2018-08-31 11:25:33,828 | INFO | localhost-startStop-1 | org.apache.catalina.core.AprLifecycleListener | (DirectJDKLog.java:180)- The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Program Files\Java\jdk1.8.0_151\jre\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;D:\maven\apache-maven-3.5.4\bin;D:\Program Files\nodejs\;C:\Program Files\MySQL\MySQL Utilities 1.6\;%SystemRoot%\system32;%SystemRoot%;%SystemRoot%\System32\Wbem;%SYSTEMROOT%\System32\WindowsPowerShell\v1.0\;%SYSTEMROOT%\System32\OpenSSH\;C:\Users\lizha\AppData\Local\Microsoft\WindowsApps;C:\Users\lizha\AppData\Local\GitHubDesktop\bin;C:\Users\lizha\AppData\Roaming\npm;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;;.]
2018-08-31 11:25:34,008 | INFO | localhost-startStop-1 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | (DirectJDKLog.java:180)- Initializing Spring embedded WebApplicationContext
2018-08-31 11:25:34,009 | INFO | localhost-startStop-1 | org.springframework.web.context.ContextLoader | (Jdk14Logger.java:99)- Root WebApplicationContext: initialization completed in 2849 ms
2018-08-31 11:25:34,085 | INFO | localhost-startStop-1 | org.springframework.boot.web.servlet.ServletRegistrationBean | (Jdk14Logger.java:99)- Servlet dispatcherServlet mapped to [/]
